dog	scaffold_set	stat_key	stat_value
Appa	primary_scaffold	n	69
Appa	primary_scaffold	sum	2471284793
Appa	primary_scaffold	n50	66084994
Appa	primary_scaffold	n50cnt	14
Appa	primary_scaffold	f	73279322.25
Appa	hap1_scaffold	n	78
Appa	hap1_scaffold	sum	2418029806
Appa	hap1_scaffold	n50	65676832
Appa	hap1_scaffold	n50cnt	15
Appa	hap1_scaffold	f	67534615.83
Appa	hap2_scaffold	n	79
Appa	hap2_scaffold	sum	2369515479
Appa	hap2_scaffold	n50	64036870
Appa	hap2_scaffold	n50cnt	15
Appa	hap2_scaffold	f	66035911.87
Molly	primary_scaffold	n	94
Molly	primary_scaffold	sum	2474319462
Molly	primary_scaffold	n50	65982478
Molly	primary_scaffold	n50cnt	15
Molly	primary_scaffold	f	70792571.19
Molly	hap1_scaffold	n	109
Molly	hap1_scaffold	sum	2433315440
Molly	hap1_scaffold	n50	65845993
Molly	hap1_scaffold	n50cnt	15
Molly	hap1_scaffold	f	69241533.57
Molly	hap2_scaffold	n	95
Molly	hap2_scaffold	sum	2454932755
Molly	hap2_scaffold	n50	65590860
Molly	hap2_scaffold	n50cnt	15
Molly	hap2_scaffold	f	68880205.84
Noodle	primary_scaffold	n	81
Noodle	primary_scaffold	sum	2469627251
Noodle	primary_scaffold	n50	65656736
Noodle	primary_scaffold	n50cnt	15
Noodle	primary_scaffold	f	70076007.48
Noodle	hap1_scaffold	n	80
Noodle	hap1_scaffold	sum	2446471483
Noodle	hap1_scaffold	n50	65656738
Noodle	hap1_scaffold	n50cnt	15
Noodle	hap1_scaffold	f	70040974.54
Noodle	hap2_scaffold	n	80
Noodle	hap2_scaffold	sum	2315749483
Noodle	hap2_scaffold	n50	63610881
Noodle	hap2_scaffold	n50cnt	15
Noodle	hap2_scaffold	f	65790739.68
Orfhlaith	primary_scaffold	n	89
Orfhlaith	primary_scaffold	sum	2465163577
Orfhlaith	primary_scaffold	n50	65657228
Orfhlaith	primary_scaffold	n50cnt	15
Orfhlaith	primary_scaffold	f	70274199.06
Orfhlaith	hap1_scaffold	n	84
Orfhlaith	hap1_scaffold	sum	2443131950
Orfhlaith	hap1_scaffold	n50	64381269
Orfhlaith	hap1_scaffold	n50cnt	15
Orfhlaith	hap1_scaffold	f	69797497.70
Orfhlaith	hap2_scaffold	n	86
Orfhlaith	hap2_scaffold	sum	2448511641
Orfhlaith	hap2_scaffold	n50	65474836
Orfhlaith	hap2_scaffold	n50cnt	15
Orfhlaith	hap2_scaffold	f	69391897.59
Pandan	primary_scaffold	n	91
Pandan	primary_scaffold	sum	2468099057
Pandan	primary_scaffold	n50	65642931
Pandan	primary_scaffold	n50cnt	15
Pandan	primary_scaffold	f	71022013.21
Pandan	hap1_scaffold	n	106
Pandan	hap1_scaffold	sum	2323926869
Pandan	hap1_scaffold	n50	64705753
Pandan	hap1_scaffold	n50cnt	15
Pandan	hap1_scaffold	f	66282954.71
Pandan	hap2_scaffold	n	128
Pandan	hap2_scaffold	sum	2373959315
Pandan	hap2_scaffold	n50	65489655
Pandan	hap2_scaffold	n50cnt	14
Pandan	hap2_scaffold	f	68774178.11
Zeke	primary_scaffold	n	91
Zeke	primary_scaffold	sum	2471667388
Zeke	primary_scaffold	n50	66087452
Zeke	primary_scaffold	n50cnt	15
Zeke	primary_scaffold	f	69928562.74
Zeke	hap1_scaffold	n	98
Zeke	hap1_scaffold	sum	2358442088
Zeke	hap1_scaffold	n50	64565338
Zeke	hap1_scaffold	n50cnt	15
Zeke	hap1_scaffold	f	66523135.64
Zeke	hap2_scaffold	n	93
Zeke	hap2_scaffold	sum	2370848096
Zeke	hap2_scaffold	n50	63025503
Zeke	hap2_scaffold	n50cnt	15
Zeke	hap2_scaffold	f	66141262.51
