KRT12	GO:0005198
ST8SIA5	GO:0003828
ST8SIA5	GO:0006486
ST8SIA5	GO:0006491
ST8SIA5	GO:0009311
CEACAM23	GO:0002682
CEACAM23	GO:0005886
CEACAM23	GO:0007165
CEACAM23	GO:0009986
CEACAM23	GO:1990782
LOC100049001	GO:0004252
LOC100049001	GO:0006508
ST6GALNAC1	GO:0001665
ST6GALNAC1	GO:0006486
SMAP1	GO:0005096
SMAP1	GO:0046872
SMAP1	GO:2000369
ST6GALNAC2	GO:0006486
ST6GALNAC2	GO:0008373
PRCD	GO:0002046
PRCD	GO:0042622
GHSR	GO:0001616
GHSR	GO:0005886
GHSR	GO:0007186
GHSR	GO:0009755
NOXA1	GO:0005515
NOXA1	GO:0016176
NOXA1	GO:0042554
THADA	GO:0005829
THADA	GO:0030488
GYPA	GO:0016020
CD302	GO:0038023
SLPI	GO:0005576
SLPI	GO:0019731
SLPI	GO:0030414
SLPI	GO:0045087
CAECAM1	GO:0002682
CAECAM1	GO:0005886
CAECAM1	GO:0007165
CAECAM1	GO:0009986
CAECAM1	GO:1990782
DEFB124	GO:0005576
DEFB124	GO:0007249
DEFB124	GO:0045087
DEFB124	GO:0071224
DEFB124	GO:0071651
DEFB124	GO:0090026
DEFB4A	GO:0005576
DEFB4A	GO:0005615
DEFB4A	GO:0031731
DEFB4A	GO:0042056
DEFB4A	GO:0042742
DEFB4A	GO:0060326
DEFB127	GO:0005576
DEFB127	GO:0045087
MYH1	GO:0003774
MYH1	GO:0005524
MYH1	GO:0016459
MYH1	GO:0051015
STAT6	GO:0000978
STAT6	GO:0000981
STAT6	GO:0006357
STAT6	GO:0006952
STAT6	GO:0007259
STAT6	GO:0019221
STAT6	GO:0042127
STAT6	GO:0043434
STAT6	GO:0060397
CD1A8	GO:0001916
CD1A8	GO:0005615
CD1A8	GO:0006955
CD1A8	GO:0009897
CD1A8	GO:0030883
CD1A8	GO:0030884
CD1A8	GO:0048006
CD1A8	GO:0048007
CD1A8	GO:0071723
CBD103	GO:0005576
CBD103	GO:0005615
CBD103	GO:0031731
CBD103	GO:0042056
CBD103	GO:0042742
CBD103	GO:0060326
KHK	GO:0004454
KHK	GO:0006000
PABPN1	GO:0003723
CD1B	GO:0001916
CD1B	GO:0005615
CD1B	GO:0006955
CD1B	GO:0009897
CD1B	GO:0030883
CD1B	GO:0030884
CD1B	GO:0048006
CD1B	GO:0048007
CD1B	GO:0071723
TNFSF10	GO:0005164
TNFSF10	GO:0005174
TNFSF10	GO:0006955
TNFSF10	GO:0016020
FMC1	GO:0005739
CRSP-3	GO:0005179
CRSP-3	GO:0005576
CRSP-3	GO:0031716
CRSP-4	GO:0005179
CRSP-4	GO:0005576
CRSP-4	GO:0031716
PSMD4	GO:0005634
PSMD4	GO:0005829
PSMD4	GO:0008540
PSMD4	GO:0031593
PSMD4	GO:0043161
FHIT	GO:0005634
FHIT	GO:0005737
FHIT	GO:0005886
FHIT	GO:0006163
FHIT	GO:0015964
FHIT	GO:0031625
FHIT	GO:0032435
FHIT	GO:0047710
FHIT	GO:0072332
CABYR	GO:0005509
CABYR	GO:0005737
CABYR	GO:0035686
CABYR	GO:0048240
TAS2R42	GO:0001580
TAS2R42	GO:0004930
TAS2R42	GO:0007186
TAS2R42	GO:0016020
TAS2R42	GO:0050909
TAS2R10	GO:0001580
TAS2R10	GO:0004930
TAS2R10	GO:0007186
TAS2R10	GO:0016020
TAS2R10	GO:0050909
TAS2R39	GO:0001580
TAS2R39	GO:0004930
TAS2R39	GO:0007186
TAS2R39	GO:0016020
TAS2R39	GO:0033038
TAS2R39	GO:0050909
TAS2R3	GO:0001580
TAS2R3	GO:0004930
TAS2R3	GO:0007186
TAS2R3	GO:0016020
TAS2R3	GO:0033038
TAS2R3	GO:0050909
TAS2R38	GO:0001580
TAS2R38	GO:0004930
TAS2R38	GO:0007186
TAS2R38	GO:0016020
